NaCl_1,T_ebu,NaCl_2,T
0,90.5808590151306,0,22.0272017624337
2,91.3347579358857,4,21.46743610715
4,91.7194322298846,8,21.1032545519995
6,92.0310000682709,12,20.9237656658926
8,92.0310000682709,16,20.5698387333598
