time_1,temperature_1,time_2,temperature_2,time_3,temperature_3,time_4,temperature_4,time_5,temperature_5
0.0,80.0,0.0,72.6,0.0,79.1,0.0,73.9,0.0,30.7
2.3333333333333335,79.8,2.3666666666666667,70.6,0.9333333333333333,78.7,1.6666666666666667,73.4,4.233333333333333,30.8
4.766666666666667,79.5,4.833333333333333,70.6,1.9333333333333333,78.3,3.3666666666666667,72.9,8.566666666666666,30.9
7.233333333333333,79.2,7.333333333333333,71.0,2.933333333333333,77.9,5.1,72.4,13.0,31.0
9.766666666666667,78.9,9.9,69.8,3.933333333333333,77.5,6.9,71.8,17.566666666666666,31.1
12.366666666666667,78.5,12.533333333333333,67.7,5.0,77.1,8.733333333333333,71.3,22.233333333333334,31.3
15.0,78.3,15.2,66.9,6.066666666666666,76.7,10.6,70.0,27.0,31.5
17.733333333333334,78.0,17.966666666666665,67.1,7.166666666666667,76.1,12.5,70.3,31.866666666666667,31.6
20.5,77.7,20.766666666666666,68.9,8.3,75.7,14.466666666666667,69.0,36.86666666666667,31.8
23.333333333333332,77.4,23.666666666666668,70.7,9.433333333333334,75.4,16.5,69.3,41.96666666666667,32.0
26.266666666666666,77.2,26.6,72.4,10.633333333333333,74.8,18.533333333333335,68.9,47.2,32.2
29.233333333333334,76.9,29.633333333333333,72.8,11.833333333333334,74.5,20.633333333333333,68.3,52.56666666666667,32.5
32.3,76.6,32.733333333333334,73.1,13.066666666666666,74.0,22.8,67.8,58.03333333333333,32.7
35.4,76.2,35.9,73.5,14.333333333333334,73.5,25.0,67.2,63.63333333333333,32.9
38.6,75.9,39.13333333333333,73.4,15.6,73.1,27.266666666666666,66.7,69.36666666666666,33.1
41.86666666666667,75.5,42.43333333333333,73.6,16.933333333333334,72.7,29.566666666666666,66.2,75.26666666666667,33.4
45.233333333333334,75.1,45.833333333333336,73.3,18.3,72.2,31.933333333333334,65.7,81.26666666666667,33.6
48.63333333333333,74.8,49.3,72.6,19.666666666666668,71.8,34.36666666666667,65.2,87.43333333333334,33.9
52.166666666666664,74.4,52.86666666666667,72.5,21.1,71.3,36.833333333333336,64.7,93.73333333333333,34.0
55.733333333333334,74.2,56.5,72.1,22.566666666666666,70.9,39.36666666666667,64.3,100.16666666666667,34.4
59.4,73.9,60.233333333333334,71.5,24.033333333333335,70.4,41.96666666666667,63.7,106.76666666666667,34.7
63.166666666666664,73.5,64.03333333333333,71.4,25.566666666666666,70.0,44.6,63.3,113.53333333333333,35.0
67.03333333333333,73.2,67.93333333333334,70.4,27.133333333333333,69.6,47.333333333333336,62.8,120.43333333333334,35.3
70.96666666666667,72.9,71.93333333333334,69.9,28.7,69.2,50.1,62.4,127.53333333333333,35.5
75.0,72.6,76.0,69.7,30.333333333333332,68.6,52.96666666666667,62.1,134.76666666666668,35.8
79.13333333333334,72.3,80.2,69.2,32.0,68.3,55.86666666666667,61.7,142.2,36.1
83.33333333333333,72.0,84.46666666666667,69.7,33.733333333333334,67.8,58.86666666666667,61.3,149.76666666666668,36.4
87.66666666666667,71.6,88.86666666666666,69.6,35.46666666666667,67.4,61.9,60.9,157.53333333333333,36.9
92.1,71.3,93.33333333333333,69.4,37.266666666666666,66.9,65.03333333333333,60.6,165.5,37.1
96.6,70.9,97.93333333333334,69.0,39.1,66.4,68.23333333333333,60.2,173.63333333333333,37.4
101.26666666666667,70.6,102.63333333333334,68.2,40.96666666666667,65.9,71.5,59.8,181.96666666666667,37.9
106.0,70.1,107.43333333333334,68.0,42.9,65.5,74.86666666666666,59.4,190.5,38.1
110.86666666666666,69.7,112.36666666666666,67.7,44.86666666666667,65.0,78.3,59.0,199.2,38.5
115.83333333333333,69.4,117.4,67.4,46.86666666666667,64.5,81.8,58.6,208.13333333333333,38.9
120.9,68.9,122.53333333333333,66.9,48.93333333333333,64.1,85.4,58.3,217.26666666666668,39.2
126.1,68.4,127.83333333333333,66.4,51.03333333333333,63.5,89.06666666666666,58.0,226.63333333333333,39.6
131.43333333333334,67.9,133.23333333333332,66.0,53.2,63.0,92.83333333333333,57.7,236.2,40.0
136.9,67.5,138.76666666666668,65.9,55.4,62.6,96.7,57.4,246.0,40.4
142.46666666666667,67.1,144.4,65.1,57.666666666666664,62.0,100.63333333333334,57.1,256.03333333333336,40.7
148.2,66.6,150.2,64.9,59.96666666666667,61.7,104.66666666666667,56.8,266.3,41.1
154.03333333333333,66.1,156.13333333333333,64.3,62.333333333333336,61.1,108.8,56.5,276.8333333333333,41.5
160.03333333333333,65.6,162.2,64.1,64.76666666666667,60.6,113.03333333333333,56.2,287.6,41.9
166.16666666666666,65.0,168.4,63.5,67.23333333333333,60.2,117.36666666666666,55.8,298.6,42.3
172.43333333333334,64.5,174.76666666666668,63.1,69.8,59.6,121.76666666666667,55.5,309.8666666666667,42.7
178.83333333333334,64.1,181.26666666666668,62.6,72.36666666666666,59.1,126.3,55.2,321.4,43.2
185.4,63.6,187.93333333333334,62.1,75.03333333333333,58.6,130.96666666666667,54.8,333.2,43.5
192.13333333333333,63.2,194.73333333333332,61.9,77.76666666666667,58.2,135.7,54.5,345.3,44.0
199.03333333333333,62.7,201.73333333333332,61.3,80.53333333333333,57.7,140.56666666666666,54.2,357.6666666666667,44.5
206.06666666666666,62.3,208.86666666666667,61.2,83.4,57.2,145.53333333333333,53.8,370.3,44.9
213.26666666666668,61.8,216.16666666666666,60.7,86.33333333333333,56.8,150.63333333333333,53.4,383.26666666666665,45.3
220.66666666666666,61.2,223.63333333333333,60.2,89.3,56.4,155.83333333333334,53.0,396.53333333333336,45.8
